LOCALITY_NAME,PRICE,PRICE_PER_SQFT,AREA,LATITUDE,LONGITUDE,LOG_PRICE
sainath nagar,11500000.0,17164.18,670.0,19.0941778,72.9108738,16.257857680289998
sakinaka,15350000.0,21140.18,724.0,19.09885801,72.88095518,16.546626097144056
sambhaji nagar,48971428.571428575,31735.117142857143,1550.0,19.877263,75.3390241,17.706747616052656
sanpada,43364705.88235294,25462.055882352943,1446.764705882353,19.06597735,73.0095329,17.585156462763955
santacruz,62500000.0,62500.0,1000.0,19.0792887,72.8471185,17.95067713070663
santacruz east,21680000.0,31942.464,669.0,19.07818055,72.86777517,16.891900780661178
santacruz west,73073333.33333333,52806.37266666666,1459.7333333333333,19.0844004,72.8372899,18.106974074768626
savarkar road,5200000.0,8965.52,580.0,19.2204821,73.0913261,15.46416937585933
seawoods,34980000.0,27814.315777777778,1349.8666666666666,19.02136825,73.01893898,17.370287056142494
sector - 9 new panvel east,6100000.0,7625.0,800.0,18.594,73.065,15.623799493077952
sector 10 kharghar,16625000.0,14465.538333333332,1174.4583333333333,19.0525298,73.0735111,16.626418204656567
sector 10 kopar khairane,12000000.0,15000.0,800.0,19.1056227,72.9988648,16.300417291085605
sector 10 new panvel,12500000.0,10204.08,1225.0,18.9993761,73.1239899,16.341239282272525
sector 10a airoli,21000000.0,16746.41,1254.0,19.1471021,72.9878663,16.860033043306743
sector 11 ghansoli,25000000.0,15151.52,1650.0,19.1190978,72.99261249,17.034386422832473
sector 11 kamothe,5525000.0,9161.165,595.0,19.0173837,73.0954838,15.52479398636355
sector 11 khanda colony,13000000.0,13813.000000000002,1012.5,19.03773415,73.06419187,16.380459992348886
sector 11 kharghar,17483333.333333332,13305.741666666667,1357.8333333333333,19.0525298,73.0735111,16.6767586613358
sector 11 koparkhairane,10037500.0,15755.87625,666.75,19.10580467,72.99873983,16.121838736863552
sector 11 sanpada,17000000.0,15454.55,1100.0,19.0607337,73.0116775,16.648723960844016
sector 12 kharghar,17328571.42857143,19296.178571428572,984.7142857142857,19.0446047,73.0645399,16.667867282567126
sector 13 kharghar,11833333.333333334,12742.303333333335,975.6666666666666,19.0525298,73.0735111,16.286431050284573
sector 14 koparkhairane,14000000.0,13333.33,1050.0,19.10580467,72.99873983,16.454567959008102
sector 14 nerul,105833333.33333333,27112.75333333333,3900.0,19.0370909,73.0233188,18.47737609707773
sector 14 vashi,30933333.333333332,22351.940000000002,1371.6666666666667,19.075784,72.9952364,17.247344941415903
sector 15 belapur,30818181.818181816,28005.51454545454,1136.6363636363637,19.0257331,73.0420988,17.24361542499473
sector 15 ghansoli,15900000.0,17596.49,945.0,19.1229321,72.99130752,16.58182973008354
sector 15 kamothe,7500000.0,8706.295,875.0,19.0173837,73.0954838,15.830413711839864
sector 15 kharghar,12450000.0,11274.745,1109.3333333333333,19.038895,73.08039297,16.337231261196273
sector 15 kopar khairane,9500000.0,14843.75,640.0,19.1056227,72.9988648,16.066802461833923
sector 16 kalamboli,7000000.0,9150.33,765.0,19.0392786,73.0992311,15.76142084987672
sector 16 kharghar,5750000.0,11988.635,475.0,19.0525298,73.0735111,15.564710586686562
sector 16 sanpada,30000000.0,20202.02,1485.0,19.0595341,73.00438537,17.216707972959764
sector 16 ulwe,10040000.0,9365.189999999999,3222.6,18.9707794,73.0215336,16.122087771829445
sector 16a nerul,20750000.0,20373.980000000003,1002.5,19.016804,73.096458,16.84805685283375
sector 17 kalamboli,9700000.0,7747.6,1252.0,19.0358309,73.1034796,16.08763654656639
sector 17 kamothe,8440000.0,8574.405,980.0,19.0173837,73.0954838,15.948492985055545
sector 17 kopar khairane,7150000.0,12372.55,580.0,19.1056227,72.9988648,15.78262305453032
sector 17 new panvel east,10733333.333333334,21336.346666666668,497.3333333333333,18.9928,73.1221,16.188864815014224
sector 17 roadpali,4800000.0,7164.18,670.0,19.04160165,73.09372971,15.38412668421143
sector 17 ulwe,10005666.666666666,10847.158888888887,930.3333333333334,18.9707794,73.0215336,16.11866225707342
sector 18 kamothe,9975000.0,9134.386,1097.2,19.0138,73.09,16.115592620990824
sector 18 kharghar,13000000.0,15994.173333333334,906.6666666666666,19.0471,73.08,16.380459992348886
sector 18 kopar khairane,11000000.0,11578.95,950.0,19.1028516,73.0030748,16.213405921671733
sector 18 new panvel east,15500000.0,11923.08,1300.0,19.0016,73.1202,16.5563506464056
sector 18 ulwe,8671428.57142857,7594.284285714287,1112.4285714285713,19.07,73.0066,15.975544222295659
sector 19 airoli,17075000.0,15920.71,1082.75,19.1593193,72.9906831,16.65312602198628
sector 19 kamothe,7366666.666666667,7960.343333333333,951.6666666666666,19.0173837,73.0954838,15.812476013566469
sector 19 kharghar,17950000.0,11593.576,1540.5,19.0525298,73.0735111,16.703100728608867
sector 19 koper khairane,11000000.0,15850.14,694.0,19.1046,72.9999,16.213405921671733
sector 19 ulwe,7050000.0,8705.2875,816.5,18.9707794,73.0215336,15.768538316632412
sector 19a nerul,35500000.0,24482.76,1450.0,19.0168,73.0965,17.385043282614657
sector 2 charkop,13166666.666666666,19155.843333333334,686.6666666666666,19.21299625,72.8222443,16.393199017152604
sector 2 ghansoli,16000000.0,14953.27,1070.0,19.1193307,72.9995096,16.588099342704055
sector 2 ulwe,8666666.666666666,8818.09,971.6666666666666,18.9707794,73.0215336,15.974994922702255
sector 20 kamothe,7366666.666666667,8212.660000000002,908.3333333333334,19.0165,73.0962,15.812476013566469
sector 20 kharghar,14283333.333333334,12093.75,1195.0,19.0477591,73.07037624,16.47460398435162
